"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"beachmat","beachmat","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.6.4",NA,NA,"methods, DelayedArray (>= 0.15.14), BiocGenerics, Matrix",NA,"testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"beeswarm","beeswarm","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.5"
"BH","BH","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.75.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.5"
"Biobase","Biobase","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.50.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.5"
"BiocGenerics","BiocGenerics","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.36.1",NA,"R (>= 4.0.0), methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.5"
"BiocManager","BiocManager","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.30.15",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.5"
"BiocNeighbors","BiocNeighbors","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.8.2",NA,NA,"Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix","Rcpp, RcppHNSW","testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"BiocParallel","BiocParallel","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.24.1",NA,"methods","stats, utils, futile.logger, parallel, snow","BH","BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, codetools, RUnit,
BiocStyle, knitr, batchtools, data.table",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"BiocSingular","BiocSingular","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.6.0",NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, irlba, rsvd, Rcpp, beachmat","Rcpp, beachmat","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"BiocVersion","BiocVersion","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.12.0",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.5"
"bitops","bitops","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"blob","blob","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.1",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"bluster","bluster","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.0",NA,NA,"stats, methods, utils, Matrix, Rcpp, igraph, S4Vectors,
BiocParallel, BiocNeighbors","Rcpp","knitr, rmarkdown, testthat, BiocStyle, dynamicTreeCut,
scRNAseq, scuttle, scater, scran, pheatmap, viridis",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"boot","boot","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.0.3"
"brio","brio","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.2",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"broom","broom","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.7.6",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0)",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, cmprsk, coda, covr, drc, e1071,
emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.8.1), gam (>=
1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm, Hmisc,
irlba, joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps,
lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, Rchoice, rgeos, rmarkdown, robust, robustbase,
rsample, sandwich, sp, spdep, spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"bslib","bslib","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.2.5",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.1), jsonlite, sass (>= 0.4.0),
digest (>= 0.6.25), jquerylib (>= 0.1.3), rlang, magrittr",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"cachem","cachem","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.5",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"callr","callr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.7.0",NA,NA,"processx (>= 3.5.0), R6, utils",NA,"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"car","car","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.0-10",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), sandwich, SparseM, survival,
survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"carData","carData","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.0-4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"caret","caret","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","6.0-88",NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, Matrix, mda,
mgcv, mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls,
proxy, randomForest, RANN, rmarkdown, spls, subselect, pamr,
superpc, Cubist, testthat (>= 0.9.1), rpart, dplyr, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"caTools","caTools","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"cellranger","cellranger","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"checkmate","checkmate","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"class","class","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","7.3-19","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"cli","cli","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.5.0",NA,"R (>= 2.10)","glue, utils",NA,"callr, covr, grDevices, htmlwidgets, knitr, methods, mockery,
ps (>= 1.3.4.9000), rmarkdown, rstudioapi, prettycode (>=
1.1.0), testthat, tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"clipr","clipr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.7.1",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"cluster","cluster","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.1.1","recommended","R (>= 3.4.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"codetools","codetools","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"colorspace","colorspace","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.0-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"commonmark","commonmark","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"compiler","compiler","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.0.5","base",NA,NA,NA,NA,NA,"Part of R 4.0.5",NA,NA,NA,NA,NA,"4.0.5"
"conquer","conquer","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.2",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"cowplot","cowplot","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"cpp11","cpp11","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.2.7",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, testthat,
tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"crayon","crayon","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4.1",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"crosstalk","crosstalk","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"crul","crul","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"curl","curl","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.3.1",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"data.table","data.table","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.14.0",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"datasets","datasets","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.0.5","base",NA,NA,NA,NA,NA,"Part of R 4.0.5",NA,NA,NA,NA,NA,"4.0.5"
"DBI","DBI","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.1",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, dbplyr, dplyr, glue, hms, knitr, magrittr,
rmarkdown, rprojroot, RMariaDB, RSQLite (>= 1.1-2), testthat,
xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"dbplyr","dbplyr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.1.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"DelayedArray","DelayedArray","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.16.3",NA,"R (>= 3.4), methods, stats4, Matrix, BiocGenerics (>= 0.31.5),
MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2), IRanges (>=
2.17.3)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, pryr, DelayedMatrixStats, knitr,
BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.5"
"DelayedMatrixStats","DelayedMatrixStats","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.12.3",NA,"MatrixGenerics, DelayedArray (>= 0.15.3)","methods, matrixStats (>= 0.56.0), sparseMatrixStats, Matrix,
S4Vectors (>= 0.17.5), IRanges, HDF5Array (>= 1.17.2),
BiocParallel",NA,"testthat, knitr, rmarkdown, covr, BiocStyle, microbenchmark,
profmem",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"deldir","deldir","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.2-10",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"DEoptimR","DEoptimR","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0-9",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"desc","desc","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.3.0",NA,"R (>= 3.1.0)","utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr, spelling, gh",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"diffobj","diffobj","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.4",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"digest","digest","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.6.27",NA,"R (>= 3.3.0)","utils",NA,"tinytest, knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"diptest","diptest","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.76-0",NA,NA,"graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"dplyr","dplyr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.6",NA,"R (>= 3.3.0)","ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 1.0.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.10), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.5), pillar
(>= 1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"dqrng","dqrng","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.0",NA,"R (>= 3.1.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","testthat, knitr, rmarkdown",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"DropletUtils","DropletUtils","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.10.3",NA,"SingleCellExperiment","utils, stats, methods, Matrix, Rcpp, BiocGenerics, S4Vectors,
SummarizedExperiment, BiocParallel, DelayedArray, HDF5Array,
rhdf5, edgeR, R.utils, dqrng, beachmat, scuttle","Rcpp, beachmat, Rhdf5lib, BH, dqrng, scuttle","testthat, knitr, BiocStyle, rmarkdown, jsonlite,
DropletTestFiles",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"dtplyr","dtplyr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.0",NA,"R (>= 3.3)","crayon, data.table (>= 1.12.4), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"edgeR","edgeR","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.32.1",NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp","Rcpp","jsonlite, readr, rhdf5, splines, Biobase, AnnotationDbi,
SummarizedExperiment, org.Hs.eg.db",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.0.5"
"ellipse","ellipse","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4.2",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"ellipsis","ellipsis","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"evaluate","evaluate","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"fansi","fansi","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4.2",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
